"ID","InvestigationType","AccidentNumber","EventDate","Location","Country","Latitute","Longtitude","AirportCode","AirportName","InjurySeverity","AircraftDamage","AircraftCategory","RegistrationNumber","Make","Model","AmateurBuilt","NumberOfEngines","EngineType","FARDescription","Schedule","PurposeOfFlight","AirCarrier","TotalFatalInjuries","TotalSeriousInjuries","TotalMinorInjuries","TotalInjured","WeatherCondition","BroadPhaseOfFlight","ReportStatus","PublicationDate","Key - Country"
"20170825X41406","Accident","ERA17WA294","07/26/2017","Mykonos, Greece","Greece","","","LGMK","Mykonos Int","Non-Fatal","Substantial","Airplane","","RAYTHEON","HAWKER","No","","","","","","","","","","3","","LANDING","Foreign","","Greece"
"20170703X75223","Accident","ERA17WA224","06/23/2017","Schinias Marathonas, Greece","Greece","38.153889","24.021667","","N/A","Fatal(2)","Substantial","Helicopter","","MD HELICOPTER","500","No","","","Non-U.S., Non-Commercial","","Personal","","2","1","","","","MANEUVERING","Foreign","","Greece"
"20161019X10455","Accident","ERA17WA021","10/16/2016","Peloponnese, Greece","Greece","","","","","Fatal(2)","Destroyed","Airplane","","CESSNA","172","No","","","","","","","2","","","","","MANEUVERING","Foreign","","Greece"
"20150504X25731","Incident","ENG15WA019","12/26/2014","Athens, Greece, Greece","Greece","","","","","Incident","","Airplane","","AIRBUS","A330 - 201","","","","","","","","","","","","","","Foreign","","Greece"
"20130617X62454","Incident","DCA13WA109","06/15/2013","Thessaloniki, Greece","Greece","","","LGTS","Thessaloniki International","Incident","","Airplane","","BOEING","737-800","","","","","","","","","","","161","","","Foreign","02/24/2014","Greece"
"20100617X02311","Incident","ENG10IA038","06/16/2010","Athens, Greece","Greece","","","LGAV","Eleftherios Venizelos Internat","Incident","Minor","Airplane","N196DN","BOEING","767","No","2","","Part 121: Air Carrier","SCHD","","DELTA AIR LINES INC","","","","2","","STANDING","Probable Cause","07/05/2011","Greece"
"20100513X45441","Accident","CEN09WA617","05/31/2009","Strovíkion, Greece","Greece","38.456944","-23.136389","","Airfield Kopaidas","Fatal(2)","Substantial","Ultralight","","ATEC","321 FAETA","","1","Reciprocating","Unknown","","","","2","","","","","","Foreign","05/14/2010","Greece"
"20090504X84241","Accident","ERA09WA279","04/28/2009","Mt. Ainos, Greece","Greece","38.116667","20.500000","LGKF","Kefalonia International","Fatal(2)","Destroyed","Airplane","","Cirrus Design","SR22","No","1","","Unknown","","","","2","","","","IMC","","Foreign","05/08/2009","Greece"
"20090313X62746","Incident","DCA09WA039","03/02/2009","","Greece","","","","","Incident","","","","","","","","","Non-U.S., Commercial","SCHD","","","","","","","","","Foreign","02/23/2010","Greece"
"20081003X17823","Accident","NYC08WA262","04/22/2008","Athens, Greece","Greece","37.916667","23.833333","","","Non-Fatal","Destroyed","Helicopter","","Schweizer","269C","No","","","Non-U.S., Non-Commercial","","Unknown","","","","2","","VMC","","Foreign","","Greece"
"20070206X00144","Incident","DCA07WA021","12/31/2006","Athens, Greece","Greece","","","","","Incident","","","","Boeing","B757-200","","","","","SCHD","","","","","","227","","","Foreign","02/06/2007","Greece"
"20050825X01309","Accident","DCA05RA092","08/14/2005","Grammatikos, Greece","Greece","","","","","Fatal(121)","Destroyed","","","Boeing","B737-300","No","","","","SCHD","","","121","","","","","","Foreign","08/25/2005","Greece"
"20031008X01681","Accident","IAD03WA067","02/11/2003","IKARIA ISLAND, Greece","Greece","","","","","Unavailable","Destroyed","","","Agusta","A-109E","No","","","","NSCH","","","","","","","VMC","","Foreign","10/08/2003","Greece"
"20001211X10545","Accident","DCA98WA067","07/19/1998","KOS, Greece","Greece","","","","","Non-Fatal","Substantial","Airplane","","Lockheed","L-1011","No","","Unknown","Part 129: Foreign","SCHD","Unknown","","","","","1","UNK","","Foreign","","Greece"
